iata_code,name
ABY,Southwest Georgia Regional Airport
ACB,Antrim County Airport
ACK,Nantucket Memorial Airport
ACT,Waco Regional Airport
ACV,California Redwood Coast-Humboldt County International Airport
ACY,Atlantic City International Airport
ADG,Lenawee County Airport
ADT,Ada Regional Airport
ADM,Ardmore Municipal Airport
ADS,Addison Airport
ADW,Joint Base Andrews
KAE,Kake Seaplane Base
AEL,Albert Lea Municipal Airport
AEX,Alexandria International Airport
AFF,USAF Academy Airfield
WSG,Washington County Airport
AFN,Jaffrey Airport Silver Ranch Airport
AFO,Afton Municipal Airport
AFW,Fort Worth Alliance Airport
AGC,Allegheny County Airport
AGO,Magnolia Municipal Airport / Ralph C Weiser Field
AGS,Augusta Regional At Bush Field
AHC,Amedee Army Air Field
AHH,Amery Municipal Airport
AHN,Athens Ben Epps Airport
AIA,Alliance Municipal Airport
AID,Anderson Municipal Darlington Field
AIK,Aiken Regional Airport
AIO,Atlantic Municipal Airport
AIV,George Downer Airport
AIY,Atlantic City Municipal Bader Field
AIZ,Lee C Fine Memorial Airport
AKO,Colorado Plains Regional Airport
AKC,Akron Executive Airport
ALB,Albany International Airport
ALI,Alice International Airport
ALM,Alamogordo White Sands Regional Airport
ALN,St Louis Regional Airport
ALO,Waterloo Regional Airport
ALS,San Luis Valley Regional Airport/Bergman Field
ALW,Walla Walla Regional Airport
ALX,Thomas C Russell Field
AMA,Rick Husband Amarillo International Airport
AMN,Gratiot Community Airport
AMW,Ames Municipal Airport
ANB,Anniston Regional Airport
AND,Anderson Regional Airport
SLT,Salida Airport Harriett Alexander Field
ANP,Lee Airport
ANQ,Tri State Steuben County Airport
ANW,Ainsworth Regional Airport
ANY,Anthony Municipal Airport
AOH,Lima Allen County Airport
AOO,Altoona Blair County Airport
APA,Centennial Airport
APC,Napa County Airport
APF,Naples Municipal Airport
APG,Phillips Army Air Field
APH,A P Hill AAF (Fort A P Hill) Airport
APN,Alpena County Regional Airport
APT,Marion County Brown Field
APV,Apple Valley Airport
ARA,Acadiana Regional Airport
ARB,Ann Arbor Municipal Airport
ARG,Walnut Ridge Regional Airport
WHT,Wharton Regional Airport
AUZ,Aurora Municipal Airport
ART,Watertown International Airport
ARV,Lakeland-Noble F. Lee Memorial field
BFT,Beaufort County Airport
ASE,Aspen-Pitkin Co/Sardy Field
SPZ,Springdale Municipal Airport
ASH,Nashua Airport / Boire Field
ASL,Harrison County Airport
ASN,Talladega Municipal Airport
AST,Astoria Regional Airport
ASX,John F Kennedy Memorial Airport
ASY,Ashley Municipal Airport
ATL,Hartsfield Jackson Atlanta International Airport
ATS,Artesia Municipal Airport
ATW,Appleton International Airport
ATY,Watertown Regional Airport
AUG,Augusta State Airport
AUM,Austin Municipal Airport
AUN,Auburn Municipal Airport
AUO,Auburn University Regional Airport
AUS,Austin Bergstrom International Airport
AUW,Wausau Downtown Airport
AVL,Asheville Regional Airport
AVO,Avon Park Executive Airport
AVP,Wilkes Barre Scranton International Airport
AVW,Marana Regional Airport
AVX,Catalina Airport
AWM,West Memphis Municipal Airport
AXG,Algona Municipal Airport
AXN,Chandler Field
AXS,Altus Quartz Mountain Regional Airport
AXV,Neil Armstrong Airport
AXX,Angel Fire Airport
AYE,Ft Devens Moore Army Air Field
AYS,Waycross Ware County Airport
TUH,Arnold Air Force Base
AZO,Kalamazoo Battle Creek International Airport
BAB,Beale Air Force Base
BAD,Barksdale Air Force Base
BAF,Westfield-Barnes Regional Airport
CLU,Columbus Municipal Airport
BAM,Battle Mountain Airport
BBB,Benson Municipal Airport
BBD,Curtis Field
BTN,Marlboro County Jetport H.E. Avent Field
BBW,Broken Bow Municipal Airport
BCB,Virginia Tech Montgomery Executive Airport
BCE,Bryce Canyon Airport
BCT,Boca Raton Airport
BDE,Baudette International Airport
BDG,Blanding Municipal Airport
BDL,Bradley International Airport
BDR,Igor I Sikorsky Memorial Airport
WBU,Boulder Municipal Airport
KBE,Bell Island Hot Springs Seaplane Base
BEC,Beech Factory Airport
BED,Laurence G Hanscom Field
BEH,Southwest Michigan Regional Airport
BFD,Bradford Regional Airport
BFF,Western Neb. Rgnl/William B. Heilig Airport
BFI,Boeing Field King County International Airport
BFL,Meadows Field
BFM,Mobile Downtown Airport
BFR,Virgil I Grissom Municipal Airport
BGD,Hutchinson County Airport
BGE,Decatur County Industrial Air Park
BGM,Greater Binghamton/Edwin A Link field
BGR,Bangor International Airport
BHB,Hancock County-Bar Harbor Airport
BHM,Birmingham-Shuttlesworth International Airport
BID,Block Island State Airport
BIE,Beatrice Municipal Airport
BIF,Biggs Army Air Field (Fort Bliss)
BIH,Eastern Sierra Regional Airport
BIL,Billings Logan International Airport
BIS,Bismarck Municipal Airport
BIX,Keesler Air Force Base
BJC,Rocky Mountain Metropolitan Airport
BJI,Bemidji Regional Airport
BJJ,Wayne County Airport
BKD,Stephens County Airport
BKE,Baker City Municipal Airport
BFK,Buckley Air Force Base
BKL,Burke Lakefront Airport
BKT,Allen C Perkinson Blackstone Army Air Field
BKW,Raleigh County Memorial Airport
BKX,Brookings Regional Airport
BLF,Mercer County Airport
BLH,Blythe Airport
BLI,Bellingham International Airport
BLM,Monmouth Executive Airport
BLU,Blue Canyon Nyack Airport
BLV,Scott AFB/Midamerica Airport
BMC,Brigham City Regional Airport
BMG,Monroe County Airport
BMI,Central Illinois Regional Airport at Bloomington-Normal
BML,Berlin Regional Airport
BMT,Beaumont Municipal Airport
BNA,Nashville International Airport
BNG,Banning Municipal Airport
BNL,Barnwell Regional Airport
BNO,Burns Municipal Airport
BNW,Boone Municipal Airport
BOI,Boise Air Terminal/Gowen Field
BOS,Logan International Airport
BOW,Bartow Executive Airport
HCA,Big Spring Mc Mahon-Wrinkle Airport
BPI,Miley Memorial Field
WMH,Ozark Regional Airport
BPT,Jack Brooks Regional Airport
BQK,Brunswick Golden Isles Airport
BRD,Brainerd Lakes Regional Airport
BRL,Southeast Iowa Regional Airport
BRO,Brownsville South Padre Island International Airport
BRY,Samuels Field
BTF,Skypark Airport
BTL,Battle Creek Executive Airport at Kellogg Field
BTM,Bert Mooney Airport
TTO,Britton Municipal Airport
BTP,Pittsburgh/Butler Regional Airport
BTR,Baton Rouge Metropolitan Airport
BTV,Burlington International Airport
BTY,Beatty Airport
BUB,Cram Field
BUF,Buffalo Niagara International Airport
BUM,Butler Memorial Airport
BUR,Bob Hope Airport
BFP,Beaver County Airport
BVO,Bartlesville Municipal Airport
MVW,Skagit Regional Airport
BVX,Batesville Regional Airport
BVY,Beverly Regional Airport
BWC,Brawley Municipal Airport
BWD,Brownwood Regional Airport
BWG,Bowling Green Warren County Regional Airport
BWI,Baltimore/Washington International Thurgood Marshall Airport
WAH,Harry Stern Airport
BWM,Bowman Regional Airport
BXA,George R Carr Memorial Air Field
BXK,Buckeye Municipal Airport
BYG,Johnson County Airport
BYH,Arkansas International Airport
BYI,Burley Municipal Airport
BYS,Bicycle Lake Army Air Field
BBC,Bay City Regional Airport
BZN,Gallatin Field
XES,Grand Geneva Resort Airport
PLY,Plymouth Municipal Airport
CLG,New Coalinga Municipal Airport
CAD,Wexford County Airport
CAE,Columbia Metropolitan Airport
CIG,Craig Moffat Airport
CAK,Akron Canton Regional Airport
CAO,Clayton Municipal Airpark
CAR,Caribou Municipal Airport
CBE,Greater Cumberland Regional Airport
CBF,Council Bluffs Municipal Airport
CBK,Shalz Field
CBM,Columbus Air Force Base
KCC,Coffman Cove Seaplane Base
CCB,Cable Airport
CCR,Buchanan Field
CCY,Northeast Iowa Regional Airport
LLX,Caledonia County Airport
CDC,Cedar City Regional Airport
CDH,Harrell Field
CDN,Woodward Field
CDR,Chadron Municipal Airport
CDS,Childress Municipal Airport
CDW,Essex County Airport
CEA,Cessna Aircraft Field
CEC,Jack Mc Namara Field Airport
CEF,Westover ARB/Metropolitan Airport
CEU,Oconee County Regional Airport
CEV,Mettel Field
CEW,Bob Sikes Airport
CEY,Kyle Oakley Field
CEZ,Cortez Municipal Airport
CFD,Coulter Field
TZC,Tuscola Area Airport
CFT,Greenlee County Airport
CFV,Coffeyville Municipal Airport
KCG,Chignik Fisheries Airport
CGE,Cambridge Dorchester Airport
CGF,Cuyahoga County Airport
CGI,Cape Girardeau Regional Airport
CGS,College Park Airport
CGX,Chicago Meigs Airport
CGZ,Casa Grande Municipal Airport
CHA,Chattanooga Metropolitan Airport (Lovell Field)
CHK,Chickasha Municipal Airport
CHO,Charlottesville Albemarle Airport
CHS,Charleston International Airport
CIC,Chico Municipal Airport
CID,The Eastern Iowa Airport
CIN,Arthur N Neu Airport
CIR,Cairo Regional Airport
CIU,Chippewa County International Airport
CKA,Kegelman AF Aux Field
CKB,North Central West Virginia Airport
GRM,Grand Marais Cook County Airport
CKM,Fletcher Field
CKN,Crookston Municipal Kirkwood Field
CKV,Clarksville–Montgomery County Regional Airport
KCL,Chignik Lagoon Airport
CLE,Cleveland Hopkins International Airport
CLI,Clintonville Municipal Airport
CLK,Clinton Regional Airport
CLL,Easterwood Field
CLM,William R Fairchild International Airport
CLR,Cliff Hatfield Memorial Airport
CLS,Chehalis Centralia Airport
CLT,Charlotte Douglas International Airport
CLW,Clearwater Air Park
CMH,John Glenn Columbus International Airport
CMI,University of Illinois Willard Airport
CMX,Houghton County Memorial Airport
CMY,Sparta Fort Mc Coy Airport
KCN,Chernofski Harbor Seaplane Base
CNH,Claremont Municipal Airport
CNK,Blosser Municipal Airport
CNM,Cavern City Air Terminal
CNO,Chino Airport
CNU,Chanute Martin Johnson Airport
CNW,TSTC Waco Airport
CNY,Canyonlands Field
COD,Yellowstone Regional Airport
COE,Coeur D'Alene - Pappy Boyington Field
COF,Patrick Air Force Base
COI,Merritt Island Airport
COM,Coleman Municipal Airport
CON,Concord Municipal Airport
COS,City of Colorado Springs Municipal Airport
COT,Cotulla-La Salle County Airport
COU,Columbia Regional Airport
CPM,Compton Woodley Airport
CPR,Casper-Natrona County International Airport
CPS,St Louis Downtown Airport
HCW,Cheraw Municipal Airport/Lynch Bellinger Field
KCR,Colorado Creek Airport
CRE,Grand Strand Airport
CRG,Jacksonville Executive at Craig Airport
CRO,Corcoran Airport
CRP,Corpus Christi International Airport
CLD,Mc Clellan-Palomar Airport
CRS,C David Campbell Field Corsicana Municipal Airport
CRT,Z M Jack Stell Field
CRW,Yeager Airport
CRX,Roscoe Turner Airport
CSG,Columbus Metropolitan Airport
CSM,Clinton Sherman Airport
CSQ,Creston Municipal Airport
CSV,Crossville Memorial Whitson Field
CTB,Cut Bank International Airport
CTY,Cross City Airport
CTZ,Sampson County Airport
CUB,Jim Hamilton L.B. Owens Airport
CUH,Cushing Municipal Airport
CVG,Cincinnati Northern Kentucky International Airport
CKK,Sharp County Regional Airport
CVN,Clovis Municipal Airport
CVO,Corvallis Municipal Airport
CVS,Cannon Air Force Base
CWA,Central Wisconsin Airport
KIP,Kickapoo Downtown Airport
CWF,Chennault International Airport
CWI,Clinton Municipal Airport
CXL,Calexico International Airport
CXO,Conroe-North Houston Regional Airport
CSN,Carson Airport
HAR,Capital City Airport
CYS,Cheyenne Regional Jerry Olson Field
CZT,Dimmit County Airport
VEX,Tioga Municipal Airport
DAA,Davison Army Air Field
DAB,Daytona Beach International Airport
DAG,Barstow Daggett Airport
DAL,Dallas Love Field
DAN,Danville Regional Airport
DAY,James M Cox Dayton International Airport
DBN,W H 'Bud' Barron Airport
DBQ,Dubuque Regional Airport
DCA,Ronald Reagan Washington National Airport
DCU,Pryor Field Regional Airport
DDC,Dodge City Regional Airport
DEC,Decatur Airport
DEH,Decorah Municipal Airport
DEN,Denver International Airport
DET,Coleman A. Young Municipal Airport
DFI,Defiance Memorial Airport
DFW,Dallas Fort Worth International Airport
DGL,Douglas Municipal Airport
DGW,Converse County Airport
DHN,Dothan Regional Airport
DHT,Dalhart Municipal Airport
DIK,Dickinson Theodore Roosevelt Regional Airport
DKK,Chautauqua County-Dunkirk Airport
DLL,Dillon County Airport
DLF,Laughlin Air Force Base
DLH,Duluth International Airport
DLN,Dillon Airport
DLS,Columbia Gorge Regional Airport
DMA,Davis Monthan Air Force Base
DMN,Deming Municipal Airport
DMO,Sedalia Memorial Airport
DNL,Daniel Field
DNN,Dalton Municipal Airport
DNS,Denison Municipal Airport
DNV,Vermilion Regional Airport
DOV,Dover Air Force Base
DPA,Dupage Airport
DPG,Michael AAF (Dugway Proving Ground) Airport
DRA,Desert Rock Airport
DRI,Beauregard Regional Airport
DRE,Drummond Island Airport
DRO,Durango La Plata County Airport
DRT,Del Rio International Airport
DSM,Des Moines International Airport
DSV,Dansville Municipal Airport
DTA,Delta Municipal Airport
DTL,Detroit Lakes Airport - Wething Field
DTN,Shreveport Downtown Airport
DSI,Destin Executive Airport
DTW,Detroit Metropolitan Wayne County Airport
DUA,Eaker Field
DUC,Halliburton Field
DUG,Bisbee Douglas International Airport
DUJ,DuBois Regional Airport
DVL,Devils Lake Regional Airport
DVN,Davenport Municipal Airport
NOT,Marin County Airport - Gnoss Field
NSL,Slayton Municipal Airport
DVT,Phoenix Deer Valley Airport
DWF,Wright Field
DWH,David Wayne Hooks Memorial Airport
DXR,Danbury Municipal Airport
DYL,Doylestown Airport
DYS,Dyess Air Force Base
MIF,Roy Hurd Memorial Airport
CCG,Crane County Airport
ESO,Ohkay Owingeh Airport
WTR,Whiteriver Airport
ALE,Alpine Casparis Municipal Airport
BGT,Bagdad Airport
EAN,Phifer Airfield
EAR,Kearney Regional Airport
EAT,Pangborn Memorial Airport
EAU,Chippewa Valley Regional Airport
KEB,Nanwalek Airport
EBS,Webster City Municipal Airport
ECG,Elizabeth City Regional Airport & Coast Guard Air Station
ECP,Northwest Florida Beaches International Airport
ECS,Mondell Field
EDE,Northeastern Regional Airport
ETS,Enterprise Municipal Airport
EDW,Edwards Air Force Base
EED,Needles Airport
EEN,Dillant Hopkins Airport
EFD,Ellington Airport
EFK,Northeast Kingdom International Airport
EFW,Jefferson Municipal Airport
EGE,Eagle County Regional Airport
EGI,Duke Field
EGV,Eagle River Union Airport
KEK,Ekwok Airport
EKA,Murray Field
EKI,Elkhart Municipal Airport
EKN,Elkins-Randolph Co-Jennings Randolph Field
EKO,Elko Regional Airport
EKX,Addington Field / Elizabethtown Regional Airport
ELA,Eagle Lake Airport
ELD,South Arkansas Regional At Goodwin Field
ELK,Elk City Regional Business Airport
ELM,Elmira Corning Regional Airport
ELN,Bowers Field
LYU,Ely Municipal Airport
ELP,El Paso International Airport
ELY,Ely Airport Yelland Field
ELZ,"Wellsville Municipal Arpt,Tarantine Field"
EMM,Kemmerer Municipal Airport
EMP,Emporia Municipal Airport
EMT,San Gabriel Valley Airport
END,Vance Air Force Base
ENL,Centralia Municipal Airport
ENV,Wendover Airport
ENW,Kenosha Regional Airport
EOK,Keokuk Municipal Airport
EPH,Ephrata Municipal Airport
EDK,Captain Jack Thomas El Dorado Airport
ERI,Erie International Tom Ridge Field
ERR,Errol Airport
ERV,Kerrville Municipal Louis Schreiner Field
ESC,Delta County Airport
ESF,Esler Regional Airport
ESN,Easton Airport / Newnam Field
EST,Estherville Municipal Airport
ESW,Easton State Airport
ETB,West Bend Municipal Airport
ETN,Eastland Municipal Airport
EUF,Weedon Field
EUG,Mahlon Sweet Field
EVM,Eveleth Virginia Municipal Airport
EVV,Evansville Regional Airport
EVW,Evanston-Uinta County Airport-Burns Field
EWB,New Bedford Regional Airport
EWK,Newton City-County Airport
EWN,Coastal Carolina Regional Airport
