iata_code,name
HKY,Hickory Regional Airport
HLB,Hillenbrand Industries Airport
HLC,Hill City Municipal Airport
HLG,Wheeling Ohio County Airport
HLM,Park Township Airport
HLN,Helena Regional Airport
HLR,Hood Army Air Field
HMN,Holloman Air Force Base
HMT,Hemet Ryan Airport
HNB,Huntingburg Airport
HSH,Henderson Executive Airport
HOB,Lea County Regional Airport
HON,Huron Regional Airport
HOP,Campbell AAF (Fort Campbell) Air Field
HOT,Memorial Field
HOU,William P Hobby Airport
HPN,Westchester County Airport
HPT,Hampton Municipal Airport
HPY,Baytown Airport
HQM,Bowerman Airport
HES,Hermiston Municipal Airport
HRL,Valley International Airport
HRO,Boone County Airport
HSB,Harrisburg-Raleigh Airport
HNC,Billy Mitchell Airport
THP,Hot Springs County Airport
HSI,Hastings Municipal Airport
HSP,Ingalls Field
HST,Homestead ARB Airport
HSV,Huntsville International Carl T Jones Field
HTH,Hawthorne Industrial Airport
HTL,Roscommon County - Blodgett Memorial Airport
HTO,East Hampton Airport
HTS,Tri-State/Milton J. Ferguson Field
HTW,Lawrence County Airpark
HUA,Redstone Army Air Field
HUF,"Terre Haute Regional Airport, Hulman Field"
HUL,Houlton International Airport
HUM,Houma Terrebonne Airport
HUT,Hutchinson Municipal Airport
HVE,Hanksville Airport
HVN,Tweed New Haven Airport
HVR,Havre City County Airport
HVS,Hartsville Regional Airport
HWD,Hayward Executive Airport
HWO,North Perry Airport
WSH,Brookhaven Airport
HHH,Hilton Head Airport
HYA,Barnstable Municipal Boardman Polando Field
HYR,Sawyer County Airport
HYS,Hays Regional Airport
HZL,Hazleton Municipal Airport
JFN,Northeast Ohio Regional Airport
IAB,Mc Connell Air Force Base
IAD,Washington Dulles International Airport
IAG,Niagara Falls International Airport
IAH,George Bush Intercontinental Houston Airport
KIB,Ivanof Bay Seaplane Base
ICL,Schenck Field
ICT,Wichita Eisenhower National Airport
IDA,Idaho Falls Regional Airport
IDI,Indiana County/Jimmy Stewart Fld/ Airport
IDP,Independence Municipal Airport
XPR,Pine Ridge Airport
IFA,Iowa Falls Municipal Airport
IFP,Laughlin Bullhead International Airport
IGM,Kingman Airport
IKK,Greater Kankakee Airport
ILE,Skylark Field
ILG,New Castle Airport
ILM,Wilmington International Airport
ILN,Wilmington Airpark
IML,Imperial Municipal Airport
IMM,Immokalee Regional Airport
MDN,Madison Municipal Airport
IMT,Ford Airport
IND,Indianapolis International Airport
INK,Winkler County Airport
INL,Falls International Airport
INS,Creech Air Force Base
INT,Smith Reynolds Airport
INW,Winslow Lindbergh Regional Airport
IOW,Iowa City Municipal Airport
IPL,Imperial County Airport
IPT,Williamsport Regional Airport
IRK,Kirksville Regional Airport
IRS,Kirsch Municipal Airport
ISM,Kissimmee Gateway Airport
ISN,Sloulin Field International Airport
ISO,Kinston Regional Jetport At Stallings Field
ISP,Long Island Mac Arthur Airport
ISQ,Schoolcraft County Airport
ISW,Alexander Field South Wood County Airport
ITH,Ithaca Tompkins Regional Airport
AZA,Phoenix-Mesa-Gateway Airport
IWD,Gogebic Iron County Airport
ISS,Wiscasset Airport
IWS,West Houston Airport
JCI,New Century Aircenter Airport
IYK,Inyokern Airport
SQA,Santa Ynez Airport
FRY,Eastern Slopes Regional Airport
JAC,Jackson Hole Airport
JAN,Jackson-Medgar Wiley Evers International Airport
JAS,Jasper County Airport-Bell Field
JAX,Jacksonville International Airport
JBR,Jonesboro Municipal Airport
JCT,Kimble County Airport
JDN,Jordan Airport
JEF,Jefferson City Memorial Airport
JFK,John F Kennedy International Airport
JHW,Chautauqua County-Jamestown Airport
GUF,Jack Edwards Airport
JLN,Joplin Regional Airport
JMS,Jamestown Regional Airport
JOT,Joliet Regional Airport
USA,Concord-Padgett Regional Airport
JKV,Cherokee County Airport
JST,John Murtha Johnstown Cambria County Airport
JVL,Southern Wisconsin Regional Airport
JXN,Jackson County Reynolds Field
KKB,Kitoi Bay Seaplane Base
KIC,Mesa Del Rey Airport
KKL,Karluk Lake Seaplane Base
KLS,Southwest Washington Regional Airport
KKU,Ekuk Airport
DTH,Furnace Creek Airport
BXS,Borrego Valley Airport
RBF,Big Bear City Airport
TRH,Trona Airport
LAA,Southeast Colorado Regional Airport
LAF,Purdue University Airport
LAL,Lakeland Linder International Airport
LAM,Los Alamos Airport
LAN,Capital City Airport
LAR,Laramie Regional Airport
LAS,McCarran International Airport
LAW,Lawton Fort Sill Regional Airport
LAX,Los Angeles International Airport
LBB,Lubbock Preston Smith International Airport
LBE,Arnold Palmer Regional Airport
LBF,North Platte Regional Airport Lee Bird Field
LBL,Liberal Mid-America Regional Airport
LBT,Lumberton Regional Airport
LJN,Texas Gulf Coast Regional Airport
LCH,Lake Charles Regional Airport
LCI,Laconia Municipal Airport
LCK,Rickenbacker International Airport
LCQ,Lake City Gateway Airport
LDJ,Linden Airport
LDM,Mason County Airport
LEB,Lebanon Municipal Airport
LEE,Leesburg International Airport
LEM,Lemmon Municipal Airport
LEW,Auburn Lewiston Municipal Airport
LEX,Blue Grass Airport
LFI,Langley Air Force Base
LFK,Angelina County Airport
LFT,Lafayette Regional Airport
LGA,La Guardia Airport
LGB,Long Beach Airport (Daugherty Field)
LGC,LaGrange Callaway Airport
LGD,La Grande/Union County Airport
LGF,Laguna Army Airfield
LGU,Logan-Cache Airport
LHC,Arlington Municipal Airport
LHV,William T. Piper Memorial Airport
LIY,Wright AAF (Fort Stewart)/Midcoast Regional Airport
LFN,Triangle North Executive Airport
LIC,Limon Municipal Airport
LIT,Bill & Hillary Clinton National Airport/Adams Field
LJN,Lake Jackson Dow Airport
LKP,Lake Placid Airport
LOW,Louisa County Airport/Freeman Field
LKV,Lake County Airport
CHL,Challis Airport
LMS,Louisville Winston County Airport
LMT,Crater Lake-Klamath Regional Airport
LNA,Palm Beach County Park Airport
LND,Hunt Field
LNK,Lincoln Airport
LNN,Lake County Executive Airport
LNP,Lonesome Pine Airport
LNR,Tri-County Regional Airport
LNS,Lancaster Airport
LOL,Derby Field
BBX,Wings Field
LOT,Lewis University Airport
LOU,Bowman Field
LOZ,London-Corbin Airport/Magee Field
LPC,Lompoc Airport
LQK,Pickens County Airport
LRD,Laredo International Airport
LRF,Little Rock Air Force Base
LRJ,Le Mars Municipal Airport
LRU,Las Cruces International Airport
LSB,Lordsburg Municipal Airport
LSE,La Crosse Municipal Airport
LSF,Lawson Army Air Field (Fort Benning)
LSK,Lusk Municipal Airport
LSN,Los Banos Municipal Airport
LSV,Nellis Air Force Base
LTS,Altus Air Force Base
LUF,Luke Air Force Base
LUK,Cincinnati Municipal Airport Lunken Field
LUL,Hesler Noble Field
LVK,Livermore Municipal Airport
LVL,Brunswick Municipal Airport
LVM,Mission Field
LVS,Las Vegas Municipal Airport
LWB,Greenbrier Valley Airport
LWC,Lawrence Municipal Airport
LWL,Wells Municipal Airport/Harriet Field
LWM,Lawrence Municipal Airport
LWS,Lewiston Nez Perce County Airport
LWT,Lewistown Municipal Airport
LWV,Lawrenceville Vincennes International Airport
LXN,Jim Kelly Field
LXV,Lake County Airport
LYH,Lynchburg Regional Preston Glenn Field
LYO,Lyons-Rice County Municipal Airport
LZU,Gwinnett County Briscoe Field
PCU,Poplarville Pearl River County Airport
MLK,Malta Airport
MAC,Macon Downtown Airport
MAE,Madera Municipal Airport
MAF,Midland International Airport
MAW,Malden Regional Airport
MBG,Mobridge Municipal Airport
MBL,Manistee County Blacker Airport
DXE,Bruce Campbell Field
MBS,MBS International Airport
MBY,Omar N Bradley Airport
MCB,McComb-Pike County Airport / John E Lewis Field
MCC,Mc Clellan Airfield
MCD,Mackinac Island Airport
MCE,Merced Regional Macready Field
MCF,Mac Dill Air Force Base
MCI,Kansas City International Airport
MCK,Mc Cook Ben Nelson Regional Airport
MCN,Middle Georgia Regional Airport
MCO,Orlando International Airport
MCW,Mason City Municipal Airport
MDA,Martindale Army Heliport
MDD,Midland Airpark
MDH,Southern Illinois Airport
XMD,Madison Municipal Airport
MDT,Harrisburg International Airport
MDW,Chicago Midway International Airport
MDF,Taylor County Airport
MXE,Laurinburg Maxton Airport
MEI,Key Field / Meridian Regional Airport
MEM,Memphis International Airport
MER,Castle Airport
MEV,Minden-Tahoe Airport
MFD,Mansfield Lahm Regional Airport
MFE,Mc Allen Miller International Airport
MFI,Marshfield Municipal Airport
MFR,Rogue Valley International Medford Airport
MFV,Accomack County Airport
MGC,Michigan City Municipal Airport
MGE,Dobbins Air Reserve Base
MGJ,Orange County Airport
MGM,Montgomery Regional (Dannelly Field) Airport
MGR,Moultrie Municipal Airport
MGW,Morgantown Municipal Walter L. Bill Hart Field
MGY,Dayton-Wright Brothers Airport
MHE,Mitchell Municipal Airport
MHK,Manhattan Regional Airport
MHL,Marshall Memorial Municipal Airport
MHR,Sacramento Mather Airport
MHT,Manchester-Boston Regional Airport
MHV,Mojave Airport
MIA,Miami International Airport
MIB,Minot Air Force Base
MIE,Delaware County Johnson Field
MIT,Shafter Airport - Minter Field
MIV,Millville Municipal Airport
MJX,Ocean County Airport
MKC,Charles B. Wheeler Downtown Airport
MKE,General Mitchell International Airport
MKG,Muskegon County Airport
MKL,McKellar-Sipes Regional Airport
MRK,Marco Island Executive Airport
MLB,Melbourne International Airport
MLC,Mc Alester Regional Airport
MLI,Quad City International Airport
MLS,Frank Wiley Field
MLU,Monroe Regional Airport
MMH,Mammoth Yosemite Airport
MMI,McMinn County Airport
MML,Southwest Minnesota Regional Airport - Marshall/Ryan Field
MMS,Selfs Airport
MMT,Mc Entire Joint National Guard Base
MMU,Morristown Municipal Airport
MNM,Menominee Regional Airport
MNN,Marion Municipal Airport
MOB,Mobile Regional Airport
MOD,Modesto City Co-Harry Sham Field
MOT,Minot International Airport
RMY,Mariposa Yosemite Airport
MPJ,Petit Jean Park Airport
MPO,Pocono Mountains Municipal Airport
MPV,Edward F Knapp State Airport
MPZ,Mount Pleasant Municipal Airport
MQB,Macomb Municipal Airport
MEO,Dare County Regional Airport
CTH,Chester County G O Carlson Airport
MQY,Smyrna Airport
MRB,Eastern WV Regional Airport/Shepherd Field
MRC,Maury County Airport
MRF,Marfa Municipal Airport
MRN,Foothills Regional Airport
MRY,Monterey Peninsula Airport
MSL,Northwest Alabama Regional Airport
MSN,Dane County Regional Truax Field
MSO,Missoula International Airport
MSP,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field
MSS,Massena International Richards Field
MSV,Sullivan County International Airport
MSY,Louis Armstrong New Orleans International Airport
MTC,Selfridge Air National Guard Base Airport
MTH,The Florida Keys Marathon Airport
MTJ,Montrose Regional Airport
MTN,Martin State Airport
MTO,Coles County Memorial Airport
MTP,Montauk Airport
MTW,Manitowoc County Airport
MUI,Muir Army Air Field (Fort Indiantown Gap) Airport
MUO,Mountain Home Air Force Base
MUT,Muscatine Municipal Airport
MVC,Monroe County Aeroplex Airport
MVE,Montevideo Chippewa County Airport
MVL,Morrisville Stowe State Airport
MVY,Martha's Vineyard Airport
MWA,Veterans Airport of Southern Illinois
MWC,Lawrence J Timmerman Airport
MWH,Grant County International Airport
MWL,Mineral Wells Regional Airport
MWO,Middletown Regional Airport
MXA,Manila Municipal Airport
MXF,Maxwell Air Force Base
KMY,Moser Bay Seaplane Base
MYF,Montgomery-Gibbs Executive Airport
MYL,McCall Municipal Airport
MYR,Myrtle Beach International Airport
MYV,Yuba County Airport
MZJ,Pinal Airpark
MZZ,Marion Municipal Airport
CTX,Cortland County Chase Field
SXY,Sidney Municipal Airport
ESP,Stroudsburg Pocono Airport
NBG,New Orleans NAS JRB/Alvin Callender Field
NHX,Naval Outlying Field Barin
DGN,Dahlgren Naval Surface Warfare Center Airport
NEL,Lakehurst Maxfield Field Airport
NEN,Whitehouse Naval Outlying Field
NEW,Lakefront Airport
NFL,Fallon Naval Air Station
FWH,NAS Fort Worth JRB / Carswell Field
NGU,Norfolk Naval Station (Chambers Field)
NGZ,Alameda Naval Air Station
NHK,Patuxent River Naval Air Station (Trapnell Field)
NHZ,Brunswick Executive Airport
NIP,Jacksonville Naval Air Station (Towers Field)
NJK,El Centro NAF Airport (Vraciu Field)
NKX,Miramar Marine Corps Air Station - Mitscher Field
NLC,Lemoore Naval Air Station (Reeves Field) Airport
NPA,Pensacola Naval Air Station/Forrest Sherman Field
NQA,Millington-Memphis Airport
NQI,Kingsville Naval Air Station
NQX,Naval Air Station Key West/Boca Chica Field
NRB,Naval Station Mayport (Admiral David L. Mcdonald Field)
NRS,Naval Outlying Field Imperial Beach (Ream Field)
NSE,Whiting Field Naval Air Station - North
NTD,Point Mugu Naval Air Station (Naval Base Ventura Co)
NTU,Oceana Naval Air Station
NUQ,Moffett Federal Airfield
NUW,Whidbey Island Naval Air Station (Ault Field)
YUM,Yuma International Airport / Marine Corps Air Station Yuma
NZY,North Island Naval Air Station-Halsey Field
NVN,Nervino Airport
COA,Columbia Airport
ODC,Oakdale Airport
EYR,Yerington Municipal Airport
OAJ,Albert J Ellis Airport
OAK,Metropolitan Oakland International Airport
OAR,Marina Municipal Airport
OBE,Okeechobee County Airport
OCF,Ocala International Airport - Jim Taylor Field
OCH,A L Mangham Jr. Regional Airport
OCW,Warren Field
OEA,O'Neal Airport
OEO,L O Simenstad Municipal Airport
OFF,Offutt Air Force Base
OFK,Karl Stefan Memorial Airport
OGA,Searle Field
OGB,Orangeburg Municipal Airport
OGD,Ogden Hinckley Airport
OGS,Ogdensburg International Airport
OIC,Lt Warren Eaton Airport
OIL,Splane Memorial Airport
OJC,Johnson County Executive Airport
OCN,Oceanside Municipal Airport
OKC,Will Rogers World Airport
ODW,AJ Eisenberg Airport
OKK,Kokomo Municipal Airport
OKM,Okmulgee Regional Airport
OKS,Garden County Airport/King Rhiley Field
WGO,Winchester Regional Airport
OLD,"Dewitt Field,Old Town Municipal Airport"
OLF,L M Clayton Airport
OLM,Olympia Regional Airport
OLS,Nogales International Airport
OLV,Olive Branch Airport
OMA,Eppley Airfield
OMK,Omak Airport
ONL,The O'Neill Municipal John L Baker Field
ONO,Ontario Municipal Airport
ONP,Newport Municipal Airport
ONT,Ontario International Airport
OPF,Miami-Opa Locka Executive Airport
NCO,Quonset State Airport
ORD,Chicago O'Hare International Airport
ORF,Norfolk International Airport
ORH,Worcester Regional Airport
ORL,Orlando Executive Airport
ESD,Orcas Island Airport
OSC,Oscoda Wurtsmith Airport
OSH,Wittman Regional Airport
OSU,The Ohio State University Airport - Don Scott Field
OTH,Southwest Oregon Regional Airport
OTM,Ottumwa Regional Airport
OUN,University of Oklahoma Westheimer Airport
OVE,Oroville Municipal Airport
OWA,Owatonna Degner Regional Airport
OWB,Owensboro Daviess County Airport
OWD,Norwood Memorial Airport
OWK,Central Maine Airport of Norridgewock
OCE,Ocean City Municipal Airport
OXC,Waterbury Oxford Airport
OXD,Miami University Airport
OXR,Oxnard Airport
KOY,Olga Bay Seaplane Base
STQ,St Marys Municipal Airport
OZA,Ozona Municipal Airport
OZR,Cairns AAF (Fort Rucker) Air Field
BSQ,Bisbee Municipal Airport
PXL,Polacca Airport
GLB,San Carlos Apache Airport
HBK,Holbrook Municipal Airport
CWX,Cochise County Airport
PAE,Snohomish County (Paine Field) Airport
PAH,Barkley Regional Airport
PAM,Tyndall Air Force Base
PJB,Payson Airport
PAO,Palo Alto Airport of Santa Clara County
KPB,Point Baker Seaplane Base
PBF,"Pine Bluff Regional Airport, Grider Field"
PBG,Plattsburgh International Airport
PBI,Palm Beach International Airport
PVL,Pike County-Hatcher Field
PCD,Prairie Du Chien Municipal Airport
PDK,DeKalb Peachtree Airport
PDT,Eastern Oregon Regional At Pendleton Airport
PDX,Portland International Airport
PEQ,Pecos Municipal Airport
PGA,Page Municipal Airport
PGD,Charlotte County Airport
PGR,Kirk Field
PGV,Pitt Greenville Airport
PHD,Harry Clever Field
PHF,Newport News Williamsburg International Airport
ADR,Robert F Swinnie Airport
PHK,Palm Beach County Glades Airport
PHL,Philadelphia International Airport
PHN,St Clair County International Airport
PHP,Philip Airport
PHT,Henry County Airport
PHX,Phoenix Sky Harbor International Airport
PIA,General Wayne A. Downing Peoria International Airport
PIB,Hattiesburg Laurel Regional Airport
PIE,St Petersburg Clearwater International Airport
PIH,Pocatello Regional Airport
PIM,Harris County Airport
PIR,Pierre Regional Airport
PIT,Pittsburgh International Airport
PKB,Mid Ohio Valley Regional Airport
PKD,Park Rapids Municipal Konshok Field
PKF,Park Falls Municipal Airport
PLB,Clinton County Airport
PLK,M. Graham Clark Downtown Airport
PLN,Pellston Regional Airport of Emmet County Airport
PLR,St Clair County Airport
PMB,Pembina Municipal Airport
PMD,Palmdale Regional Airport / USAF Plant 42 Airport
PMH,Greater Portsmouth Regional Airport
PPM,Pompano Beach Airpark
PWY,Ralph Wenz Field
PNC,Ponca City Regional Airport
PNE,Northeast Philadelphia Airport
PNN,Princeton Municipal Airport
PNS,Pensacola International Airport
POB,Pope Field
POC,Brackett Field
POE,Polk Army Air Field
POF,Poplar Bluff Municipal Airport
POU,Dutchess County Airport
POY,Powell Municipal Airport
PPA,Perry Lefors Field
PPF,Tri-City Airport
LPO,La Porte Municipal Airport
PQI,Presque Isle International Airport
PGL,Trent Lott International Airport
KPR,Port Williams Seaplane Base
PRB,Paso Robles Municipal Airport
PRC,Prescott International Airport - Ernest A. Love Field
PRO,Perry Municipal Airport
PRX,Cox Field
PSC,Tri Cities Airport
PSF,Pittsfield Municipal Airport
PSK,New River Valley Airport
PSM,Portsmouth International at Pease Airport
PSN,Palestine Municipal Airport
PGO,Stevens Field
PSP,Palm Springs International Airport
PSX,Palacios Municipal Airport
PTB,Dinwiddie County Airport
PTK,Oakland County International Airport
PTN,Harry P Williams Memorial Airport
PTT,Pratt Regional Airport
PTV,Porterville Municipal Airport
PTW,Heritage Field
PUB,Pueblo Memorial Airport
PUC,Carbon County Regional/Buck Davis Field
PUW,Pullman Moscow Regional Airport
PVC,Provincetown Municipal Airport
PVD,Theodore Francis Green State Airport
PVF,Placerville Airport
PVU,Provo-Utah Lake International Airport
PVW,Hale County Airport
PVZ,Casement Airport
PWA,Wiley Post Airport
PWD,Sher-Wood Airport
PWK,Chicago Executive Airport
PWM,Portland International Jetport
PWT,Bremerton National Airport
KPY,Port Bailey Seaplane Base
PYM,Plymouth Municipal Airport
KQA,Akutan Seaplane Base
RAC,John H Batten Airport
RAL,Riverside Municipal Airport
RAP,Rapid City Regional Airport
RBD,Dallas Executive Airport
RBG,Roseburg Regional Airport
RBL,Red Bluff Municipal Airport
RBW,Lowcountry Regional Airport
RCA,Ellsworth Air Force Base
RCK,H H Coffield Regional Airport
RCR,Fulton County Airport
RCT,Nartron Field
RDD,Redding Municipal Airport
RDG,Reading Regional Airport (Carl A Spaatz Field)
RDM,Roberts Field
RDR,Grand Forks Air Force Base
RDU,Raleigh Durham International Airport
REO,Rome State Airport
RFD,Chicago Rockford International Airport
RFG,Rooke Field
RHI,Rhinelander Oneida County Airport
RHV,Reid-Hillview Airport of Santa Clara County
RIC,Richmond International Airport
RIL,Garfield County Regional Airport
RIV,March Air Reserve Base
RIW,Riverton Regional Airport
RKD,Knox County Regional Airport
RKP,Aransas County Airport
RKS,Southwest Wyoming Regional Airport
RKW,Rockwood Municipal Airport
RME,Griffiss International Airport
RMG,Richard B Russell Airport
RNC,Warren County Memorial Airport
RND,Randolph Air Force Base
RNO,Reno Tahoe International Airport
RNT,Renton Municipal Airport
ROA,Roanoke–Blacksburg Regional Airport
ROC,Greater Rochester International Airport
ROG,Rogers Municipal Airport-Carter Field
ROW,Roswell Air Center Airport
ROX,Roseau Municipal Rudy Billberg Field
RIE,Rice Lake Regional Airport - Carl's Field
RPX,Roundup Airport
WBR,Roben Hood Airport
RQO,El Reno Regional Airport
RRL,Merrill Municipal Airport
RRT,Warroad International Memorial Airport
RSL,Russell Municipal Airport
RSN,Ruston Regional Airport
RST,Rochester International Airport
RSW,Southwest Florida International Airport
RTN,Raton Municipal Airport / Crews Field
SRW,Mid-Carolina Regional Airport
RUT,Rutland - Southern Vermont Regional Airport
RED,Mifflin County Airport
RVS,Richard Lloyd Jones Jr Airport
RWF,Redwood Falls Municipal Airport
RWI,Rocky Mount Wilson Regional Airport
RWL,Rawlins Municipal Airport/Harvey Field
RXE,Rexburg Madison County Airport
RNZ,Jasper County Airport
RZZ,Halifax County Airport
AHM,Ashland Municipal Sumner Parker Field
BDY,Bandon State Airport
SUO,Sunriver Airport
MDJ,Madras Municipal Airport
PRZ,Prineville Airport
IDH,Idaho County Airport
SAA,Shively Field
SAC,Sacramento Executive Airport
SAD,Safford Regional Airport
SAF,Santa Fe Municipal Airport
SAN,San Diego International Airport
SAR,Sparta Community Hunter Field
SAT,San Antonio International Airport
SAV,Savannah Hilton Head International Airport
MQT,Sawyer International Airport
SBA,Santa Barbara Municipal Airport
SBD,San Bernardino International Airport
SBM,Sheboygan County Memorial Airport
SBN,South Bend Regional Airport
SBP,San Luis County Regional Airport
SBS,Steamboat Springs Bob Adams Field
SBX,Shelby Airport
SBY,Salisbury Ocean City Wicomico Regional Airport
SCB,Scribner State Airport
SCH,Schenectady County Airport
SCK,Stockton Metropolitan Airport
SDF,Louisville Muhammad Ali International Airport
SCF,Scottsdale Airport
SDM,Brown Field Municipal Airport
SDY,Sidney - Richland Regional Airport
SEA,Seattle Tacoma International Airport
SEE,Gillespie Field
SEF,Sebring Regional Airport
SEG,Penn Valley Airport
SEM,Craig Field
SEP,Stephenville Clark Regional Airport
SER,Freeman Municipal Airport
SDX,Sedona Airport
SFB,Orlando Sanford International Airport
SFF,Felts Field
SFM,Sanford Seacoast Regional Airport
SFO,San Francisco International Airport
SFZ,North Central State Airport
SGF,Springfield Branson National Airport
SGH,Springfield-Beckley Municipal Airport
UST,Northeast Florida Regional Airport
SGR,Sugar Land Regional Airport
SGT,Stuttgart Municipal Airport / Carl Humphrey Field
SGU,Saint George-Southwest Utah International Airport
SHD,Shenandoah Valley Regional Airport
SHN,Sanderson Field
SHR,Sheridan County Airport
SHV,Shreveport Regional Airport
SIK,Sikeston Memorial Municipal Airport
SIV,Sullivan County Airport
SJC,Norman Y. Mineta San Jose International Airport
SJN,St Johns Industrial Air Park
SJT,San Angelo Regional Mathis Field
SKA,Fairchild Air Force Base
SKF,Lackland Air Force Base
TSM,Taos Regional Airport
SKY,Griffing Sandusky Airport
SLB,Storm Lake Municipal Airport
SLC,Salt Lake City International Airport
SLE,Salem Municipal Airport/McNary Field
SLG,Smith Field
SLK,Adirondack Regional Airport
SLN,Salina Municipal Airport
SLO,Salem Leckrone Airport
SLR,Sulphur Springs Municipal Airport
SMD,Smith Field
SME,Lake Cumberland Regional Airport
SMF,Sacramento International Airport
SMN,Lemhi County Airport
SMO,Santa Monica Municipal Airport
SUM,Sumter Airport
SMX,Santa Maria Pub/Capt G Allan Hancock Field
SNA,John Wayne Airport-Orange County Airport
SNK,Winston Field
SNL,Shawnee Regional Airport
SNS,Salinas Municipal Airport
SNY,Sidney Municipal-Lloyd W Carr Field
SOP,Moore County Airport
SOW,Show Low Regional Airport
SPA,Spartanburg Downtown Memorial Airport
SPF,Black Hills Airport-Clyde Ice Field
SPG,Albert Whitted Airport
SPI,Abraham Lincoln Capital Airport
SPS,Sheppard Air Force Base-Wichita Falls Municipal Airport
SPW,Spencer Municipal Airport
SQI,Whiteside County Airport-Joseph H Bittorf Field
SQL,San Carlos Airport
SRQ,Sarasota Bradenton International Airport
RUI,Sierra Blanca Regional Airport
SSC,Shaw Air Force Base
SSF,Stinson Municipal Airport
SSI,St Simons Island Airport
STC,Saint Cloud Regional Airport
STE,Stevens Point Municipal Airport
STJ,Rosecrans Memorial Airport
STK,Sterling Municipal Airport
STL,St Louis Lambert International Airport
STP,St Paul Downtown Holman Field
STS,Charles M. Schulz Sonoma County Airport
SUA,Witham Field
SUD,Stroud Municipal Airport
SUE,Door County Cherryland Airport
SUN,Friedman Memorial Airport
SUS,Spirit of St Louis Airport
SUU,Travis Air Force Base
SUW,Richard I Bong Airport
SUX,Sioux Gateway Airport / Brigadier General Bud Day Field
SVC,Grant County Airport
SVE,Susanville Municipal Airport
SVH,Statesville Regional Airport
SVN,Hunter Army Air Field
SWF,New York Stewart International Airport
SWO,Stillwater Regional Airport
SWW,Avenger Field
SYI,Bomar Field Shelbyville Municipal Airport
SYR,Syracuse Hancock International Airport
SYV,Sylvester Airport
SZL,Whiteman Air Force Base
TBC,Tuba City Airport
TAD,Perry Stokes Airport
KTB,Thorne Bay Seaplane Base
TBN,Waynesville-St. Robert Regional Forney field
TBR,Statesboro Bulloch County Airport
TCC,Tucumcari Municipal Airport
TCL,Tuscaloosa Regional Airport
TCM,McChord Air Force Base
TCS,Truth or Consequences Municipal Airport
TDO,Ed Carlson Memorial Field South Lewis County Airport
TDW,Tradewind Airport
TDZ,Toledo Executive Airport
TEB,Teterboro Airport
TEX,Telluride Regional Airport
THA,Tullahoma Regional Arpt/Wm Northern Field
THM,Thompson Falls Airport
THV,York Airport
TIK,Tinker Air Force Base
TIW,Tacoma Narrows Airport
TIX,Space Coast Regional Airport
KNT,Kennett Memorial Airport
TLH,Tallahassee Regional Airport
TLR,Mefford Field
TMA,Henry Tift Myers Airport
TMB,Miami Executive Airport
OTK,Tillamook Airport
TNP,Twentynine Palms Airport
TNT,Dade Collier Training and Transition Airport
TNU,Newton Municipal Airport
XSD,Tonopah Test Range Airport
TOA,Zamperini Field
TOC,Toccoa Airport - R.G. Letourneau Field
TOI,Troy Municipal Airport at N Kenneth Campbell Field
TOL,Toledo Express Airport
TOP,Philip Billard Municipal Airport
TOR,Torrington Municipal Airport
TPA,Tampa International Airport
TPF,Peter O Knight Airport
TPH,Tonopah Airport
TPL,Draughon Miller Central Texas Regional Airport
TRI,Tri-Cities Regional TN/VA Airport
TKF,Truckee Tahoe Airport
TRL,Terrell Municipal Airport
TRM,Jacqueline Cochran Regional Airport
TSP,Tehachapi Municipal Airport
TTD,Portland Troutdale Airport
TTN,Trenton Mercer Airport
TUL,Tulsa International Airport
TUP,Tupelo Regional Airport
TUS,Tucson International Airport / Morris Air National Guard Base
TVC,Cherry Capital Airport
TVF,Thief River Falls Regional Airport
TVI,Thomasville Regional Airport
TVL,Lake Tahoe Airport
TWF,Joslin Field Magic Valley Regional Airport
TXK,Texarkana Regional Webb Field
TYZ,Taylor Airport
TYR,Tyler Pounds Regional Airport
TYS,McGhee Tyson Airport
BFG,Bullfrog Basin Airport
NPH,Nephi-Central Utah International Airport
RVR,Green River Municipal Airport
UTH,South Valley International Airport
PNU,Panguitch Municipal Airport
ICS,Cascade Airport
UAY,University of Arizona Training Field (Under Planning/Construction)
UBS,Columbus Lowndes County Airport
UCY,Everett-Stewart Regional Airport
UDD,Bermuda Dunes Airport
UES,Waukesha County Airport
UGN,Waukegan National Airport
UIL,Quillayute Airport
UIN,Quincy Regional Baldwin Field
UIZ,Berz-Macomb Airport
IKB,Wilkes County Airport
UKI,Ukiah Municipal Airport
UKT,Quakertown Airport
ULM,New Ulm Municipal Airport
ATO,Ohio University Snyder Field
UNU,Dodge County Airport
SCE,University Park Airport
UOS,Franklin County Airport
UOX,University Oxford Airport
UTM,Tunica Municipal Airport
HTV,Huntsville Regional Airport
NPT,Newport State Airport
UVA,Garner Field
RKH,Rock Hill - York County Airport
VAD,Moody Air Force Base
LLY,South Jersey Regional Airport
VBG,Vandenberg Air Force Base
VCT,Victoria Regional Airport
VCV,Southern California Logistics Airport
VDI,Vidalia Regional Airport
VEL,Vernal Regional Airport
VGT,North Las Vegas Metropolitan International Airport
VHN,Culberson County Airport
VIH,Rolla National Airport
VIS,Visalia International Airport
VJI,Virginia Highlands Airport
VKS,Vicksburg Municipal Airport
VLA,Vandalia Municipal Airport
VLD,Valdosta Regional Airport
VNC,Venice Municipal Airport
VNY,Van Nuys Airport
